,MAKE,MODEL,YEAR,Recall,Predict_Recall,Probability_Recall,complaint_count,crash_ratio,keybert_safety_score,median_mileage,complaints_first_12m,recall_count,first_complaint_date,shap_keybert_safety_score,shap_median_mileage,shap_complaints_first_12m_ratio
165,CHEVROLET,SILVERADO EV,2025,1,1,0.552896664,22,0,14,0,21,1,2025-01-20,-0.485273903,0.434237567,-0.176868833
166,CHEVROLET,SUBURBAN,2022,1,1,0.672010574,145,0.048275862,31,46448,5,4,2022-01-18,0.534530914,-0.077081788,-0.180442967
167,CHEVROLET,SUBURBAN,2023,1,1,0.703748582,130,0,29,30000,21,3,2022-11-30,0.414553877,0.103984797,-0.093612533
168,CHEVROLET,SUBURBAN,2024,1,1,0.65576795,49,0,24,10800,1,1,2024-10-31,0.114611284,0.31534657,-0.225753399
169,CHEVROLET,SUBURBAN 1500,2023,1,1,0.509854488,25,0,12,0,0,1,2024-06-12,-0.60525094,0.434237567,-0.229850115
170,CHEVROLET,SUBURBAN 1500,2025,1,0,0.382227206,36,0,5,12944.5,17,1,2025-03-12,-1.02517057,0.291739001,-0.186960506
171,CHEVROLET,TAHOE,2022,1,1,0.804843026,235,0.017021277,40,49000,24,4,2021-11-09,1.074427581,-0.10517529,0.007304193
172,CHEVROLET,TAHOE,2023,1,1,0.692474131,277,0.028880866,28,30000,22,5,2023-02-13,0.354565358,0.103984797,-0.08712503
173,CHEVROLET,TAHOE,2024,1,1,0.539411366,85,0.011764706,16,15494,12,3,2024-03-11,-0.365296865,0.26367302,-0.180689529
174,CHEVROLET,TAHOE,2025,1,1,0.654153465,50,0,21,0,23,1,2025-03-31,-0.065354272,0.434237567,-0.171822997
175,CHEVROLET,TAHOE,2026,1,1,0.62415721,20,0,17,3783,16,3,2025-12-04,-0.305308347,0.392592693,-0.02033956
176,CHEVROLET,TRAILBLAZER,2022,1,1,0.612998332,146,0.02739726,21,25207,16,1,2022-01-24,-0.065354272,0.156748181,-0.071747243
177,CHEVROLET,TRAILBLAZER,2023,0,1,0.593208696,84,0.095238095,21,32500,24,,2023-02-23,-0.065354272,0.076463733,-0.074150022
178,CHEVROLET,TRAILBLAZER,2024,0,0,0.463015458,50,0.14,9,10000,25,,2024-03-12,-0.785216496,0.32415331,-0.127432227
179,CHEVROLET,TRAILBLAZER,2025,0,0,0.499870185,31,0,11,700,11,,2024-08-01,-0.665239459,0.426531669,-0.202098015
180,CHEVROLET,TRAVERSE,2022,1,1,0.505744553,121,0.024793388,17,44000,17,1,2022-01-30,-0.305308347,-0.050133162,-0.061865813
181,CHEVROLET,TRAVERSE,2023,1,1,0.66390744,98,0.091836735,27,33500,17,2,2023-06-06,0.294576839,0.065455307,-0.119562549
182,CHEVROLET,TRAVERSE,2024,0,1,0.779135526,188,0,30,3900,45,,2024-06-21,0.474542395,0.391304707,-0.045497917
183,CHEVROLET,TRAVERSE,2025,0,1,0.83537598,292,0.02739726,31,9995,220,,2025-01-04,0.534530914,0.324208352,0.325191883
